5,0,0.0009954,0,0,0,0.0006215,0,0.0003753,0.0019139,0,0,0.0009953,0,0,0,0,0,0,0.0009955,0
50,0.0029924,0.0040176,0.0239086,0.0089753,0.002992,0.0029916,0.0039905,0.0040015,0.0119549,0.0029917,0.0109708,0.0029919,0.0030237,0.0029933,0.0019946,0.0029866,0.0029645,0.0019943,0.0029919,0.0029922
500,0.261328,0.247344,0.265258,0.278283,0.245343,0.246314,0.241382,0.245343,0.260277,0.257312,0.258309,0.242351,0.241354,0.258982,0.244698,0.2513,0.243349,0.251355,0.250332,0.252324
2000,4.103,4.09764,4.10499,4.15292,3.86666,3.86364,3.83277,3.87261,3.87065,3.8582,3.82645,3.85382,3.95744,4.114,4.12992,4.11798,3.93946,3.84075,3.86683,3.83178
5000,28.15,27.9063,27.7489,27.7438,27.7991,28.0327,27.7406,27.9387,27.7496,27.816,27.8644,27.9375,27.8666,27.7679,27.7541,27.6477,27.7186,27.7408,27.8148,27.7859
